state	zip	pci
AL	35004	54
AL	35005	39
AL	35006	48
AL	35007	57
AL	35010	45
AL	35014	44
AL	35016	48
AL	35019	41
AL	35020	26
AL	35022	56
AL	35023	47
AL	35031	40
AL	35033	54
AL	35034	38
AL	35035	65
AL	35040	52
AL	35042	44
AL	35043	79
AL	35044	40
AL	35045	44
AL	35046	51
AL	35049	47
AL	35051	57
AL	35053	60
AL	35054	65
AL	35055	49
AL	35057	50
AL	35058	49
AL	35061	35
AL	35062	53
AL	35063	40
AL	35064	33
AL	35068	48
AL	35071	59
AL	35072	37
AL	35073	39
AL	35077	41
AL	35078	48
AL	35079	50
AL	35080	69
AL	35083	44
AL	35085	42
AL	35087	38
AL	35089	31
AL	35091	64
AL	35094	54
AL	35096	47
AL	35097	47
AL	35098	41
AL	35111	63
AL	35114	63
AL	35115	43
AL	35116	58
AL	35117	61
AL	35118	47
AL	35120	52
AL	35121	51
AL	35124	74
AL	35125	43
AL	35126	53
AL	35127	50
AL	35128	57
AL	35130	43
AL	35131	41
AL	35133	45
AL	35135	51
AL	35136	43
AL	35143	51
AL	35146	61
AL	35147	67
AL	35148	42
AL	35150	40
AL	35151	46
AL	35160	38
AL	35171	50
AL	35172	41
AL	35173	82
AL	35175	55
AL	35176	40
AL	35178	45
AL	35179	47
AL	35180	54
AL	35183	45
AL	35184	43
AL	35186	64
AL	35188	54
AL	35203	96
AL	35204	24
AL	35205	51
AL	35206	29
AL	35207	25
AL	35208	27
AL	35209	84
AL	35210	55
AL	35211	29
AL	35212	32
AL	35213	205
AL	35214	37
AL	35215	33
AL	35216	86
AL	35217	31
AL	35218	24
AL	35221	25
AL	35222	77
AL	35223	312
AL	35224	29
AL	35226	93
AL	35228	28
AL	35233	69
AL	35234	23
AL	35235	43
AL	35242	127
AL	35243	130
AL	35244	94
AL	35401	31
AL	35404	39
AL	35405	48
AL	35406	129
AL	35441	37
AL	35442	35
AL	35443	27
AL	35444	51
AL	35446	44
AL	35447	38
AL	35452	49
AL	35453	47
AL	35456	44
AL	35458	46
AL	35459	34
AL	35460	29
AL	35461	40
AL	35462	32
AL	35463	46
AL	35464	27
AL	35466	48
AL	35469	38
AL	35470	41
AL	35473	56
AL	35474	47
AL	35475	72
AL	35476	36
AL	35480	51
AL	35481	40
AL	35490	53
AL	35501	40
AL	35503	47
AL	35504	60
AL	35540	40
AL	35541	55
AL	35542	44
AL	35543	35
AL	35544	37
AL	35546	44
AL	35548	32
AL	35549	38
AL	35550	44
AL	35552	37
AL	35553	40
AL	35554	44
AL	35555	43
AL	35563	46
AL	35564	36
AL	35565	43
AL	35570	40
AL	35571	39
AL	35572	44
AL	35574	44
AL	35575	40
AL	35576	46
AL	35578	41
AL	35579	44
AL	35580	44
AL	35581	36
AL	35582	50
AL	35585	44
AL	35586	40
AL	35587	44
AL	35592	44
AL	35593	40
AL	35594	52
AL	35601	43
AL	35603	63
AL	35610	47
AL	35611	45
AL	35613	72
AL	35614	43
AL	35616	45
AL	35618	41
AL	35619	45
AL	35620	47
AL	35621	46
AL	35622	43
AL	35630	44
AL	35633	51
AL	35634	73
AL	35640	53
AL	35643	41
AL	35645	63
AL	35646	43
AL	35647	44
AL	35648	47
AL	35650	46
AL	35651	43
AL	35652	52
AL	35653	40
AL	35654	39
AL	35660	38
AL	35661	58
AL	35670	48
AL	35671	47
AL	35672	47
AL	35673	51
AL	35674	51
AL	35677	42
AL	35739	48
AL	35740	40
AL	35741	108
AL	35744	39
AL	35746	39
AL	35747	51
AL	35748	75
AL	35749	66
AL	35750	49
AL	35752	41
AL	35754	49
AL	35755	52
AL	35756	79
AL	35757	73
AL	35758	86
AL	35759	67
AL	35760	49
AL	35761	59
AL	35763	104
AL	35764	38
AL	35765	38
AL	35768	44
AL	35769	68
AL	35771	39
AL	35772	40
AL	35773	50
AL	35775	35
AL	35776	40
AL	35801	106
AL	35802	86
AL	35803	73
AL	35805	25
AL	35806	70
AL	35808	81
AL	35810	33
AL	35811	58
AL	35816	26
AL	35824	78
AL	35901	53
AL	35903	37
AL	35904	36
AL	35905	48
AL	35906	53
AL	35907	61
AL	35950	38
AL	35951	37
AL	35952	41
AL	35953	45
AL	35954	36
AL	35956	41
AL	35957	38
AL	35958	41
AL	35959	44
AL	35960	45
AL	35961	34
AL	35962	35
AL	35963	34
AL	35966	39
AL	35967	41
AL	35968	46
AL	35971	41
AL	35972	44
AL	35973	37
AL	35974	39
AL	35975	39
AL	35976	57
AL	35978	41
AL	35979	37
AL	35980	36
AL	35981	37
AL	35983	43
AL	35984	44
AL	35986	43
AL	35987	44
AL	35988	36
AL	35989	43
AL	36003	39
AL	36005	41
AL	36006	43
AL	36009	49
AL	36010	36
AL	36013	74
AL	36016	36
AL	36017	30
AL	36020	36
AL	36022	59
AL	36024	50
AL	36025	45
AL	36026	60
AL	36027	40
AL	36028	39
AL	36029	53
AL	36030	33
AL	36032	33
AL	36033	36
AL	36034	43
AL	36035	42
AL	36036	37
AL	36037	42
AL	36039	33
AL	36040	29
AL	36041	39
AL	36042	46
AL	36043	50
AL	36046	45
AL	36047	40
AL	36048	35
AL	36049	44
AL	36051	41
AL	36052	76
AL	36053	31
AL	36054	49
AL	36064	91
AL	36066	58
AL	36067	50
AL	36069	45
AL	36071	35
AL	36075	38
AL	36078	46
AL	36079	48
AL	36080	61
AL	36081	48
AL	36083	31
AL	36088	27
AL	36089	31
AL	36091	42
AL	36092	46
AL	36093	77
AL	36104	37
AL	36105	32
AL	36106	70
AL	36107	28
AL	36108	26
AL	36109	50
AL	36110	25
AL	36111	67
AL	36113	57
AL	36115	42
AL	36116	38
AL	36117	72
AL	36201	29
AL	36203	48
AL	36205	60
AL	36206	39
AL	36207	58
AL	36250	50
AL	36251	40
AL	36255	53
AL	36256	42
AL	36258	43
AL	36260	41
AL	36262	38
AL	36263	46
AL	36264	45
AL	36265	47
AL	36266	41
AL	36268	44
AL	36269	41
AL	36271	47
AL	36272	39
AL	36273	48
AL	36274	37
AL	36276	37
AL	36277	42
AL	36278	53
AL	36279	43
AL	36280	42
AL	36301	42
AL	36303	55
AL	36305	81
AL	36310	42
AL	36311	46
AL	36312	46
AL	36314	41
AL	36316	50
AL	36317	39
AL	36318	47
AL	36319	48
AL	36320	39
AL	36321	38
AL	36322	42
AL	36323	45
AL	36330	56
AL	36340	40
AL	36343	34
AL	36344	42
AL	36345	50
AL	36346	44
AL	36350	45
AL	36351	51
AL	36352	51
AL	36353	42
AL	36360	44
AL	36362	46
AL	36370	40
AL	36373	33
AL	36374	49
AL	36375	40
AL	36376	37
AL	36401	39
AL	36420	49
AL	36421	54
AL	36425	30
AL	36426	44
AL	36432	36
AL	36435	28
AL	36436	38
AL	36441	45
AL	36442	37
AL	36444	37
AL	36445	40
AL	36451	51
AL	36453	48
AL	36456	37
AL	36460	49
AL	36467	43
AL	36471	34
AL	36474	46
AL	36475	40
AL	36477	41
AL	36480	49
AL	36481	24
AL	36482	30
AL	36483	38
AL	36502	41
AL	36505	48
AL	36507	46
AL	36509	35
AL	36511	34
AL	36518	59
AL	36521	47
AL	36522	42
AL	36523	46
AL	36524	38
AL	36525	50
AL	36526	71
AL	36527	92
AL	36528	71
AL	36529	47
AL	36530	48
AL	36532	77
AL	36535	41
AL	36538	35
AL	36539	53
AL	36540	32
AL	36541	48
AL	36542	58
AL	36544	40
AL	36545	48
AL	36548	52
AL	36549	48
AL	36551	48
AL	36553	41
AL	36555	70
AL	36558	54
AL	36560	33
AL	36561	74
AL	36562	41
AL	36567	42
AL	36569	50
AL	36571	53
AL	36572	59
AL	36574	47
AL	36575	49
AL	36576	46
AL	36578	56
AL	36579	48
AL	36580	43
AL	36582	48
AL	36583	65
AL	36584	46
AL	36585	48
AL	36587	46
AL	36602	67
AL	36603	24
AL	36604	51
AL	36605	32
AL	36606	40
AL	36607	55
AL	36608	73
AL	36609	45
AL	36610	21
AL	36611	31
AL	36612	23
AL	36613	35
AL	36617	25
AL	36618	39
AL	36619	54
AL	36693	58
AL	36695	66
AL	36701	40
AL	36703	30
AL	36720	24
AL	36722	33
AL	36726	39
AL	36728	31
AL	36732	48
AL	36736	35
AL	36738	34
AL	36740	33
AL	36742	50
AL	36744	35
AL	36748	45
AL	36749	37
AL	36750	43
AL	36751	27
AL	36752	51
AL	36754	35
AL	36756	35
AL	36758	39
AL	36759	34
AL	36761	36
AL	36765	28
AL	36767	29
AL	36768	32
AL	36769	32
AL	36773	32
AL	36775	36
AL	36776	28
AL	36782	47
AL	36783	42
AL	36784	49
AL	36785	37
AL	36786	26
AL	36790	52
AL	36792	44
AL	36793	42
AL	36801	46
AL	36804	43
AL	36830	75
AL	36832	40
AL	36850	31
AL	36852	35
AL	36853	52
AL	36854	39
AL	36855	40
AL	36856	46
AL	36858	36
AL	36860	30
AL	36861	53
AL	36862	35
AL	36863	35
AL	36866	37
AL	36867	42
AL	36869	33
AL	36870	44
AL	36871	49
AL	36874	52
AL	36875	43
AL	36877	48
AL	36879	64
AL	36904	51
AL	36907	32
AL	36908	55
AL	36912	32
AL	36915	52
AL	36916	44
AL	36919	45
AL	36921	50
AL	36922	34
AL	36925	27
AK	99501	72
AK	99502	82
AK	99503	58
AK	99504	58
AK	99505	37
AK	99506	39
AK	99507	78
AK	99508	54
AK	99515	93
AK	99516	150
AK	99517	77
AK	99518	67
AK	99540	71
AK	99556	54
AK	99567	79
AK	99568	55
AK	99572	72
AK	99573	49
AK	99577	86
AK	99586	43
AK	99588	56
AK	99603	63
AK	99610	61
AK	99611	70
AK	99615	63
AK	99631	55
AK	99639	58
AK	99645	72
AK	99654	70
AK	99664	60
AK	99669	76
AK	99672	66
AK	99674	55
AK	99676	56
AK	99686	74
AK	99688	55
AK	99701	53
AK	99702	40
AK	99703	34
AK	99705	64
AK	99709	74
AK	99712	76
AK	99714	65
AK	99737	60
AK	99743	73
AK	99760	56
AK	99780	48
AK	99801	72
AK	99824	68
AK	99827	53
AK	99835	67
AK	99901	62
AZ	85003	66
AZ	85004	81
AZ	85006	32
AZ	85007	46
AZ	85008	32
AZ	85009	26
AZ	85012	95
AZ	85013	66
AZ	85014	57
AZ	85015	32
AZ	85016	87
AZ	85017	25
AZ	85018	120
AZ	85019	28
AZ	85020	67
AZ	85021	58
AZ	85022	57
AZ	85023	55
AZ	85024	61
AZ	85027	46
AZ	85028	98
AZ	85029	39
AZ	85031	25
AZ	85032	49
AZ	85033	27
AZ	85034	34
AZ	85035	26
AZ	85037	34
AZ	85040	30
AZ	85041	36
AZ	85042	44
AZ	85043	35
AZ	85044	77
AZ	85045	117
AZ	85048	104
AZ	85050	96
AZ	85051	34
AZ	85053	42
AZ	85054	96
AZ	85083	97
AZ	85085	85
AZ	85086	84
AZ	85087	73
AZ	85118	83
AZ	85119	49
AZ	85120	36
AZ	85122	44
AZ	85128	38
AZ	85131	36
AZ	85132	48
AZ	85137	47
AZ	85138	54
AZ	85139	47
AZ	85140	54
AZ	85142	69
AZ	85143	48
AZ	85145	53
AZ	85172	41
AZ	85173	40
AZ	85192	43
AZ	85193	35
AZ	85194	62
AZ	85201	35
AZ	85202	42
AZ	85203	49
AZ	85204	37
AZ	85205	57
AZ	85206	49
AZ	85207	80
AZ	85208	42
AZ	85209	57
AZ	85210	36
AZ	85212	66
AZ	85213	71
AZ	85215	75
AZ	85224	59
AZ	85225	49
AZ	85226	76
AZ	85233	68
AZ	85234	75
AZ	85248	100
AZ	85249	107
AZ	85250	80
AZ	85251	85
AZ	85253	439
AZ	85254	103
AZ	85255	223
